_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,LOS_encoded,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,street_type_bank,street_type_bus_station,street_type_car,street_type_cinema,street_type_clothes,street_type_company,street_type_convenience,street_type_fuel,street_type_government,street_type_house,street_type_marketplace,street_type_motorway,street_type_motorway_link,street_type_pitch,street_type_primary,street_type_primary_link,street_type_residential,street_type_school,street_type_secondary,street_type_secondary_link,street_type_tertiary,street_type_tertiary_link,street_type_trunk,street_type_trunk_link,street_type_unclassified,street_type_university,hour,minute,length_z_score
5171,14522,2020-12-13,6,period_10_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,30,-0.5658930293620121
5172,14522,2020-12-13,6,period_12_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,-0.5658930293620121
5173,14522,2020-12-13,6,period_13_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,30,-0.5658930293620121
18675,47407,2020-08-02,6,period_23_30,B,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,30,-0.4899802134516762
18676,47407,2020-08-03,0,period_0_00,C,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4899802134516762
18677,47407,2020-08-10,0,period_2_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,-0.4899802134516762
18678,47407,2020-08-10,0,period_2_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,30,-0.4899802134516762
18679,47407,2020-08-10,0,period_3_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,-0.4899802134516762
18680,47407,2020-11-26,3,period_1_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.4899802134516762
18681,47407,2020-11-26,3,period_1_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,-0.4899802134516762
18682,47407,2020-11-26,3,period_2_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,-0.4899802134516762
18683,47407,2020-11-26,3,period_2_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,30,-0.4899802134516762
18684,47407,2020-11-26,3,period_3_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,-0.4899802134516762
18685,47407,2020-12-01,1,period_13_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,-0.4899802134516762
18686,47407,2020-12-02,2,period_10_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,-0.4899802134516762
18687,47407,2020-12-02,2,period_10_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,30,-0.4899802134516762
18688,47407,2020-12-02,2,period_11_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,-0.4899802134516762
18689,47407,2020-12-02,2,period_11_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,30,-0.4899802134516762
18690,47407,2020-12-02,2,period_3_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,-0.4899802134516762
18691,47407,2020-12-02,2,period_5_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,-0.4899802134516762
18692,47407,2020-12-02,2,period_8_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,-0.4899802134516762
18693,47407,2020-12-02,2,period_8_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,30,-0.4899802134516762
18694,47407,2020-12-02,2,period_9_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,-0.4899802134516762
18695,47407,2020-12-02,2,period_9_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,30,-0.4899802134516762
18696,47407,2020-12-03,3,period_1_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.4899802134516762
18697,47407,2020-12-03,3,period_1_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,-0.4899802134516762
18698,47407,2020-12-03,3,period_2_00,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,-0.4899802134516762
18699,47407,2020-12-03,3,period_2_30,F,4074719908,4074720677,16,304359231,,0,Đường Lý Thường Kiệt,tertiary,106.6607195,10.7736178,106.6608526,10.7736896,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,30,-0.4899802134516762
