_id,level,max_velocity,name,type
302368821,3,-1.0,(không tên),tertiary_link
302368843,3,-1.0,(không tên),tertiary_link
302853939,3,-1.0,Cầu Đỏ,tertiary
302854589,3,-1.0,Trần Quang Khải,tertiary
302854713,1,-1.0,Nam Kỳ Khởi Nghĩa,primary
303164336,1,-1.0,Lý Thường Kiệt,primary
303710158,3,-1.0,(không tên),tertiary_link
303710159,2,-1.0,(không tên),primary_link
303710160,2,-1.0,(không tên),primary_link
303726063,3,30.0,Kênh Tân Hoá,tertiary
303754188,3,-1.0,Võ Văn Tần,tertiary
303754189,3,-1.0,Nguyễn Ðình Chiểu,tertiary
303754190,3,-1.0,Võ Văn Tần,tertiary
304359231,3,-1.0,(không tên),tertiary
304360839,3,-1.0,Nguyễn Thị Nhỏ,tertiary
304360842,3,-1.0,Nguyễn Thị Nhỏ,tertiary
304435213,3,-1.0,Thống Nhất,tertiary
304468398,3,-1.0,(không tên),unclassified
304468617,2,-1.0,Cầu Tân Thuận 2,primary_link
304468618,1,70.0,Nguyễn Văn Linh,primary
305381970,3,-1.0,Đường số 16,unclassified
305402843,3,-1.0,Kha Vạn Cân,tertiary
305402846,3,-1.0,Kha Vạn Cân,tertiary
305402847,3,-1.0,Hiệp Bình,tertiary
306072865,1,-1.0,Tôn Ðức Thắng,primary
306073177,0,50.0,Cầu Sài Gòn 1,trunk
306073178,1,50.0,Cầu Sài Gòn 1,primary
306073179,0,60.0,Cầu Sài Gòn 2,trunk
306073180,1,60.0,Cầu Sài Gòn 2,primary
306130120,2,-1.0,Nhánh C2,motorway_link
306641038,1,-1.0,Hai Bà Trưng,primary
307664812,1,60.0,Võ Trần Chí,primary
307664813,1,60.0,Cầu Kênh 6,primary
307664814,1,60.0,Cầu Kênh 6,primary
307664816,1,60.0,Võ Trần Chí,primary
307669097,3,-1.0,Số 10,unclassified
307745725,1,-1.0,Nguyễn Oanh,primary
308451238,2,-1.0,(không tên),primary_link
308479601,3,-1.0,(không tên),unclassified
